Time,Steps,TrainAccuracy,ValidationAccuracy,TrainLoss,ValdationLoss
43981.82,0,0.524686337,0.570215523,0.714341879,0.680370688
43981.83,1,0.517618656,0.509797513,0.692989826,0.694194198
43981.84,2,0.50265944,0.5,0.694380462,0.6933406
43981.85,3,0.499725372,0.500653148,0.693312943,0.693274677
43981.86,4,0.500766039,0.501959503,0.693391621,0.693027854
43981.87,5,0.498178869,0.508817792,0.693608165,0.693050563
43981.88,6,0.501459777,0.504572153,0.693216026,0.692989886
43981.89,7,0.502153575,0.499346823,0.693286359,0.693191648
43981.9,8,0.501835585,0.5,0.693226814,0.693185985
43981.91,9,0.498843729,0.5,0.693231702,0.693154454
